City,State,Latitude,Longitude,AverageSalary,Federal Tax,State Tax,FICA,Car Payment,Car Insurance,Healthcare,Distance (miles),Commute Miles,Gas Cost,Net Pay
Frankfort,IN,40.281,-86.5212,101440,0,0,0,0,0,0,0,0,0,0
Sterling,CO,40.6205,-103.1925,94040,0,0,0,0,0,0,0,0,0,0
Shiprock,NM,36.7924,-108.7005,48848,0,0,0,0,0,0,0,0,0,0
South Lebanon,OR,44.5055,-122.8959,104703,0,0,0,0,0,0,0,0,0,0
Quail Ridge,FL,28.3451,-82.5535,51351,0,0,0,0,0,0,0,0,0,0
Rio,FL,27.216,-80.2401,48250,0,0,0,0,0,0,0,0,0,0
Fort Lawn,SC,34.7003,-80.8991,89606,0,0,0,0,0,0,0,0,0,0
Qulin,MO,36.5977,-90.2522,103804,0,0,0,0,0,0,0,0,0,0
Princeville,NC,35.8861,-77.5194,98122,0,0,0,0,0,0,0,0,0,0
Bandon,OR,43.1141,-124.4158,118894,0,0,0,0,0,0,0,0,0,0
Eagle Crest,OR,44.2614,-121.2995,108754,0,0,0,0,0,0,0,0,0,0
Highgrove,CA,34.0106,-117.3098,55540,0,0,0,0,0,0,0,0,0,0
Keenesburg,CO,40.1327,-104.538,79023,0,0,0,0,0,0,0,0,0,0
Kayenta,AZ,36.7144,-110.259,44994,0,0,0,0,0,0,0,0,0,0
Long Creek,IL,39.8053,-88.8474,45906,0,0,0,0,0,0,0,0,0,0
SUNY Oswego,NY,43.4515,-76.5439,105936,0,0,0,0,0,0,0,0,0,0
Sansom Park,TX,32.8027,-97.4021,67594,0,0,0,0,0,0,0,0,0,0
East Bank,WV,38.2153,-81.4442,88534,0,0,0,0,0,0,0,0,0,0
Ensley,FL,30.5259,-87.2733,75585,0,0,0,0,0,0,0,0,0,0
Carey,OH,40.9497,-83.3831,87279,0,0,0,0,0,0,0,0,0,0
Reedsport,OR,43.6983,-124.1121,101313,0,0,0,0,0,0,0,0,0,0
Pinesdale,MT,46.3339,-114.2232,92652,0,0,0,0,0,0,0,0,0,0
New Baltimore,MI,42.6904,-82.7398,59149,0,0,0,0,0,0,0,0,0,0
Linda,CA,39.1241,-121.5421,58752,0,0,0,0,0,0,0,0,0,0
Big Island,VA,37.5351,-79.3615,68693,0,0,0,0,0,0,0,0,0,0
Charles City,VA,37.344,-77.0687,88809,0,0,0,0,0,0,0,0,0,0
Wilton,WI,43.8132,-90.5268,48727,0,0,0,0,0,0,0,0,0,0
